,quality,subgroup,size_sg,size_dataset,positives_sg,positives_dataset,size_complement,relative_size_sg,relative_size_complement,coverage_sg,coverage_complement,target_share_sg,target_share_complement,target_share_dataset,lift
0,0.018680928425514,"grau_instrucao_apos_2005=='SUP. COMP' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao' AND tipo_vinculo=='CLT U/PJ IND'",1079,683211,518,6833,682132,0.0015793071247389167,0.998420692875261,0.07580857602809893,0.924191423971901,0.48007414272474513,0.00925773897134279,0.010001302672234492,48.00116129447034
1,0.018389676767481856,"grau_instrucao_apos_2005=='SUP. COMP' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao'",1112,683211,518,6833,682099,0.0016276084547819048,0.9983723915452181,0.07580857602809893,0.924191423971901,0.4658273381294964,0.009258186861438002,0.010001302672234492,46.5766663999402
2,0.017343374917176427,"grau_instrucao_apos_2005=='SUP. COMP' AND sexo=='Masculino' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao' AND tipo_vinculo=='CLT U/PJ IND'",699,683211,386,6833,682512,0.001023109990910568,0.9989768900090894,0.05649056051514708,0.9435094394848529,0.5522174535050072,0.009445987762852522,0.010001302672234492,55.21455270402598
3,0.017178419168212854,"grau_instrucao_apos_2005=='SUP. COMP' AND sexo=='Masculino' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao'",712,683211,386,6833,682499,0.0010421377875941692,0.9989578622124058,0.05649056051514708,0.9435094394848529,0.5421348314606742,0.009446167686692581,0.010001302672234492,54.20642182600303
4,0.016975095938209877,"subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao' AND tipo_vinculo=='CLT U/PJ IND'",2365,683211,706,6833,680846,0.0034615953197474863,0.9965384046802526,0.10332211327381824,0.8966778867261818,0.2985200845665962,0.00899909818079272,0.010001302672234492,29.84812022491274
5,0.015933715995169483,"subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao'",2661,683211,706,6833,680550,0.0038948436134664107,0.9961051563865336,0.10332211327381824,0.8966778867261818,0.2653137918075911,0.009003012269487914,0.010001302672234492,26.527923461825868
6,0.015701359597877454,"sexo=='Masculino' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao' AND tipo_vinculo=='CLT U/PJ IND'",1646,683211,543,6833,681565,0.002409211795477532,0.9975907882045225,0.07946729108737012,0.9205327089126298,0.3298906439854192,0.00922876027965051,0.010001302672234492,32.984767564455176
7,0.014839050784614838,"sexo=='Masculino' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao'",1830,683211,543,6833,681381,0.0026785283023838904,0.9973214716976161,0.07946729108737012,0.9205327089126298,0.2967213114754098,0.009231252412380151,0.010001302672234492,29.668266344859685
8,0.014145926843481432,"grau_instrucao_apos_2005=='SUP. COMP' AND raca_cor=='Branca' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao' AND tipo_vinculo=='CLT U/PJ IND'",491,683211,264,6833,682720,0.0007186652439729454,0.9992813347560271,0.038636031025903704,0.9613639689740963,0.5376782077393075,0.009621806890086713,0.010001302672234492,53.76081750150447
9,0.014027741173423867,"grau_instrucao_apos_2005=='SUP. COMP' AND raca_cor=='Branca' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao'",499,683211,264,6833,682712,0.0007303746573167001,0.9992696253426833,0.038636031025903704,0.9613639689740963,0.5290581162324649,0.00962191963814903,0.010001302672234492,52.898920627732856
10,0.013913917897776148,"grau_instrucao_apos_2005=='SUP. COMP' AND sigla_uf=='RO' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao' AND tipo_vinculo=='CLT U/PJ IND'",780,683211,329,6833,682431,0.0011416678010160843,0.9988583321989839,0.04814869018000878,0.9518513098199912,0.4217948717948718,0.009530633866280986,0.010001302672234492,42.173993290479466
11,0.013649921018714851,"grau_instrucao_apos_2005=='SUP. COMP' AND sigla_uf=='RO' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao'",809,683211,329,6833,682402,0.001184114424387195,0.9988158855756128,0.04814869018000878,0.9518513098199912,0.40667490729295425,0.00953103888910056,0.010001302672234492,40.66219377821258
12,0.013399067163040315,"grau_instrucao_apos_2005=='SUP. COMP' AND raca_cor=='Branca' AND sexo=='Masculino' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao'",319,683211,201,6833,682892,0.0004669128570822191,0.9995330871429178,0.02941606907654032,0.9705839309234596,0.6300940438871473,0.009711638150688543,0.010001302672234492,63.00119739765576
13,0.013266373993457498,"sigla_uf=='MA' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao' AND tipo_vinculo=='CLT U/PJ IND'",606,683211,276,6833,682605,0.0008869880607894194,0.9991130119392105,0.040392214254353874,0.9596077857456461,0.45544554455445546,0.009605848184528388,0.010001302672234492,45.53862226556331
14,0.013266373993457498,"sexo=='Masculino' AND sigla_uf=='MA' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao' AND tipo_vinculo=='CLT U/PJ IND'",606,683211,276,6833,682605,0.0008869880607894194,0.9991130119392105,0.040392214254353874,0.9596077857456461,0.45544554455445546,0.009605848184528388,0.010001302672234492,45.53862226556331
15,0.013014346462511343,"grau_instrucao_apos_2005=='SUP. COMP' AND sigla_uf=='MA' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao' AND tipo_vinculo=='CLT U/PJ IND'",299,683211,189,6833,682912,0.0004376393237228323,0.9995623606762771,0.027659885848090152,0.9723401141519098,0.6321070234113713,0.009728925542383205,0.010001302672234492,63.2024691309683
16,0.012925377321936913,"grau_instrucao_apos_2005=='SUP. COMP' AND sigla_uf=='MA' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao'",303,683211,189,6833,682908,0.0004434940303947097,0.9995565059696053,0.027659885848090152,0.9723401141519098,0.6237623762376238,0.00972898252766112,0.010001302672234492,62.3681131028367
17,0.012925377321936913,"grau_instrucao_apos_2005=='SUP. COMP' AND sexo=='Masculino' AND sigla_uf=='MA' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao'",303,683211,189,6833,682908,0.0004434940303947097,0.9995565059696053,0.027659885848090152,0.9723401141519098,0.6237623762376238,0.00972898252766112,0.010001302672234492,62.3681131028367
18,0.01291406598869817,"sigla_uf=='MA' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao'",638,683211,276,6833,682573,0.0009338257141644382,0.9990661742858356,0.040392214254353874,0.9596077857456461,0.43260188087774293,0.009606298520451292,0.010001302672234492,43.25455343719649
19,0.01291406598869817,"sexo=='Masculino' AND sigla_uf=='MA' AND subsetor_ibge=='Instituiçoes de crédito, seguros e capitalizaçao'",638,683211,276,6833,682573,0.0009338257141644382,0.9990661742858356,0.040392214254353874,0.9596077857456461,0.43260188087774293,0.009606298520451292,0.010001302672234492,43.25455343719649
