chave,valor
3,5.A CO FUND
4,6. A 9. FUND
1,ANALFABETO
2,ATE 5.A INC
11,DOUTORADO
5,FUND COMPL
-1,IGNORADO
7,MEDIO COMPL
6,MEDIO INCOMP
10,MESTRADO
9,SUP. COMP
8,SUP. INCOMP
