chave,valor
1120,P MIGUEL
1130,P N CIDADE
1140,PACIENCIA
1150,PAQUETA
1160,PAVUNA
1170,PC BANDEIRA
1180,PC SECA
1190,PDA LUCAS
1200,PECHINCHA
1210,PENHA
1220,PIEDADE
1230,PILARES
1240,PITANGUEIRA
1250,PORTUGUESA
1260,PR BANDEIRA
1270,PRQ ANCHIET
1140,Paciencia
115,Paciência
113,Padre Miguel
1120,Padre Miguel
1150,Paqueta
116,Paquetá
120,Parada de Lucas
1190,Parada de Lucas
128,Parque Anchieta
1270,Parque Anchieta
1160,Pavuna
117,Pavuna
1200,Pechincha
121,Pechincha
1110,Pedra de Guaratiba
112,Pedra de Guaratiba
122,Penha
1210,Penha
111,Penha Circular
1100,Penha Circular
1220,Piedade
123,Piedade
1230,Pilares
124,Pilares
125,Pitangueiras
1240,Pitangueiras
1250,Portuguesa
126,Portuguesa
1180,Praca Seca
1170,Praca da Bandeira
1260,Praia da Bandeira
119,Praça Seca
127,Praça da Bandeira
118,Praça da Bandeira
1130,Proletario Nova Cidade
1280,Q BOCAIUVA
1280,Quintino Bocaiuva
129,Quintino Bocaiúva
1290,R ALBUQUERQ
1300,R COMPRIDO
1310,R MIRANDA
1320,R PRATA
1330,RAMOS
1340,RCR BANDEIR
1350,REALENGO
1360,RIACHUELO
1370,RIBEIRA
1380,ROCHA
1390,ROCINHA
134,Ramos
1330,Ramos
136,Realengo
1350,Realengo
1340,Recreio dos Bandeirantes
135,Recreio dos Bandeirantes
137,Riachuelo
1360,Riachuelo
1370,Ribeira
138,Ribeira
130,Ricardo de Albuquerque
1290,Ricardo de Albuquerque
1300,Rio Comprido
131,Rio Comprido
1320,Rio da Prata (desativada na revisão feita na com
139,Rocha
1380,Rocha
1310,Rocha Miranda
132,Rocha Miranda
1390,Rocinha
1400,S CAMARA
1410,S CONRADO
1420,S CRISTO
1430,S CRISTOVAO
1440,S CRUZ
1450,S F XAVIER
1470,S TERESA
1480,S VASCONCEL
1490,SAMPAIO
1500,SANTISSIMO
1510,SAUDE
1520,SEPETIBA
150,Sampaio
1490,Sampaio
1440,Santa Cruz
145,Santa Cruz
1470,Santa Teresa
148,Santa Teresa
1500,Santissimo
143,Santo Cristo
1420,Santo Cristo
151,Santíssimo
142,Sao Conrado
1410,Sao Conrado
1430,Sao Cristovao
144,Sao Cristóvao
146,Sao Francisco Xavier
1450,Sao Francisco Xavier
147,Sao Jerônimo
1510,Saude
152,Saúde
1400,Senador Camara
141,Senador Camará
149,Senador Vasconcelos
1480,Senador Vasconcelos
1520,Sepetiba
153,Sepetiba
1530,T COELHO
1540,T SANTOS
1550,TANQUE
1560,TAQUARA
1570,TAUA
1580,TIJUCA
1590,TUBIACANGA
1600,TURIACU
156,Tanque
1550,Tanque
157,Taquara
1560,Taquara
1570,Taua
158,Tauá
159,Tijuca
1580,Tijuca
155,Todos os Santos
1540,Todos os Santos
1530,Tomas Coelho
154,Tomás Coelho
1590,Tubiacanga
162,Tubiacanga
1600,Turiacu
163,Turiaçu
1610,URCA
1610,Urca
164,Urca
1620,V ALEGRE
1630,V CARVALHO
1640,V GERAL
1650,V GRANDE
1660,V LOBO
1670,V PEQUENA
1680,VIDIGAL
1690,VL ISABEL
1710,VL KOSMOS
1720,VL MILITAR
1730,VL PENHA
1740,VL VALQUEIR
1650,Vargem Grande
168,Vargem Grande
1670,Vargem Pequena
170,Vargem Pequena
1660,Vaz Lobo
169,Vaz Lobo
166,Vicente de Carvalho
1630,Vicente de Carvalho
1680,Vidigal
171,Vidigal
1640,Vigario Geral
167,Vigário Geral
1690,Vila Isabel
173,Vila Isabel
1710,Vila Kosmos
175,Vila Kosmos
1720,Vila Militar
176,Vila Militar
178,Vila Valqueire
1740,Vila Valqueire
1730,Vila da Penha
177,Vila da Penha
165,Vista Alegre
1620,Vista Alegre
1750,ZUMBI
180,Zumbi
1750,Zumbi
