chave,valor
1610,"Fabricaçao de moveis de madeira, vime e junco"
1620,"Fabricaçao de moveis de metal, revest ou nao com laminas plasticas"
1690,Fabricaçao de moveis e artigos do mobiliarios
2340,Fabricaçao de moveis moldados de material plastico
1190,Fabricaçao de outros artigos de metais
1480,Fabricaçao de outros veiculos-inclusive peças e acessorios
1720,"Fabricaçao de papel, papelao, cartolina"
1060,"Fabricaçao de peças, ornatos e estruturas de cimento"
2670,"Fabricaçao de produtos de padaria, confeitaria e pastelaria"
2210,Fabricaçao de produtos de perfumaria
2110,Fabricaçao de produtos farmaceuticos e veterinários
2090,Fabricaçao de produtos quimicos diversos
2220,"Fabricaçao de saboes, detergentes e glicerina"
2450,Fabricaçao de tecidos especiais
1030,"Fabricaçao de telhas, tijolos e outros"
2070,"Fabricaçao de tintas, esmaltes, lacas vernizes"
1430,Fabricaçao de veiculos automotores
2230,Fabricaçao de velas
2710,Fabricaçao de vinhos
1650,Fabricaçao e acabamento de artigos diversos
1090,Fabricaçao e elaboracao de produtos diversos de nao metálicos
1070,Fabricaçao e elaboracao de vidro e cristal
1270,Fabricaçao e montagem de tratores
1820,Fabricaçao e recondic de pneumatico e camara de ar
2650,Fabricaçao e refinacao de açúcar
1840,Fabricaçao espuma de borracha e artefatos de
2360,"Fabricaçao manilhas, canos, tubos e conexoes"
2030,"Fabricaçao polvora, explosivos, detonantes e artigos pirotecnicos"
2060,"Fabricaçao preparados limpeza e polimento, desinfetantes"
2010,Fabricaçao prod derivados do proces petroleo
2020,"Fabricaçao resinas, fibras e fios artificiais e sinteticos"
4110,"Ferragens prod metalurgicos, artigos sanitarios"
4310,Ferragens produtos metalurgicos e material de construçao
2420,"Fiaçao, fiaçao e tecelagem, e tecelagem"
2920,Impr material escolar mat uso ind e comercial para propaganda
4630,Incorporacao de imoveis
4530,Inst seguro resseguro - sociedades seguradora
3480,"Instalaçoes eletricas,de linhas fontes de transmissao, inclusive te..."
6140,Instituicoes cientificas e tecnologicas
4510,Instituicoes credito investimento - bancos comerciais
4520,Instituicoes de financiamento e bancos de desenvolvimento
6150,Instituicoes filosoficas e culturais
6160,Instituicoes relegiosas-orgaos admin
7012,Justica e atividades auxiliares (cartori
3030,Lapidacao pedras preciosas e semipreciosas
3540,Limpeza publica e remocao de lixo
5440,"Locacao de moveis louças, talheres e semelhantes"
2430,Malharia e fabricacao de tecidos elasticos
4320,Maquinas aparelhos equipamentos industriais
4120,"Maquinas, aparelhos e material eletrico"
7022,Marinha de guerra
4325,"Material eletrico,de comunicacoes e aparelhos eletrodomésticos"
4182,Mercadorias em geral exclusive prod alimenticios (lojas de dept)
4382,Mercadorias em geral exclusive produtos alimentícios
4181,Mercadorias em geral inclusive prod alimenticios (supermercados)
4381,Mercadorias em geral inclusive produtos alimentícios
1120,Metalurgia do pó
1110,"Metalurgia dos metais nao-ferrosos, em formas primarias"
4140,"Moveis artigos decoracao, utilidade domesticas"
4340,Moveis e artigos de colchoaria e tapecaria
3410,"Nivelamento, terraplenagem e preparacao de terrenos"
3460,"Obras hidraulicas, construçao de barragens, usinas, portos, etc"
4660,"Organizacao de cartoes de credito sorteios, consorcios, etc"
6180,Organizacoes civicas e politicas
9000,"Outras atividades, nao classificadas"
7029,Outras organizacoes governamentais de segurança
5490,Outros servicos domiciliarios
5390,Outros servicos pessoais - estudios fotograficos
5790,Outros servicos tecnicos-profissionais nao especificados
4145,Papel impressos artigos de escritorio
4345,"Papel, celulose, impressos e artigos de livraria"
350,Pesca em alto-mar costeira e interior (fluvial e lacustre)
7011,Poder legislativo
7025,Policia civil - inclusive estabelecimentos prisionais
7024,Policia militar
2690,Prep e fabr produtos alimenticios diversos
2810,Preparacao do fumo
2640,Preparacao do leite e fabricacao de produtos de laticínio
2630,Preparacao do pescado e fabricacao de conservadas do pescado
6120,Previdencia social - instituiçoes governamentais
4170,"Prod alimenticios, bebidas fumo e estimulantes"
4150,Prod quimicos farmaceuticos inclusive artigos de perfumaria
3510,Producao e distribuicao de energia eletrica
2000,Producao elementos quimicos e prod quimicos inorganicos e organicos
2040,"Producao oleos, gorduras e ceras vegetais"
4301,Produtos agricolas nao-beneficiados
4307,Produtos agropecuarios prod extrativos
4370,Produtos alimenticios
4302,Produtos de origem animal inclusive gado
4306,Produtos de pesca
4304,Produtos extrativos de origem mineral em bruto
4305,Produtos extrativos de origem vegetal
4350,Produtos quimicos preparados farmaceuticos
2610,"Refeicoes conservadas, frutas, legumes e outros vegetais"
5260,Reparacao art couro prod similares
5250,Reparacao artigos de borracha
5240,Reparacao conservacao art mobiliario
5290,Reparacao de artigos diversos - joias e relogios
5230,Reparacao de artigos em madeira
5210,Reparacao e conservacao maq apar eletricos
1390,Reparacao e manutencao de maq e aparelho
1280,"Reparacao e manutencao de maq, aparelhos e equipamentos industriais"
5220,Reparacao e manutencao de veiculos
5270,Reparacao instalacoes eletricas hidraulicas
8010,Representaçoes de organismos internacion
8020,Representaçoes diplomaticas
3060,"Revelacao, copiagem, corte, montag, gravaçao, dublagem e sonorizaçao"
1910,"Secagem, salga, curtimento e outras preparacoes de couro e pele"
1160,"Serralheria e fabrç. de tanques, reservatórios e outro recipi..."
7018,Servicos administrativos autarquicos
7014,Servicos administrativos estaduais
7013,Servicos administrativos federais
7015,Servicos administrativos municipais
5810,Servicos auxiliares da agricultura e da criaçao de animais
5840,Servicos auxiliares de atividades de seguros
5890,Servicos auxiliares de atividades economicas
5830,Servicos auxiliares do comercio e industria
5820,Servicos auxiliares do transporte
6190,Servicos comunitarios e sociais nao especificados
5730,"Servicos de assessoria, consultoria, pesquisa, análise e proc de dados"
5720,Servicos de contabilidade e auditoria
5430,Servicos de dedetizacao e expurgo
5510,Servicos de diversoes e promocao de espetaculos artisticos
5740,"Servicos de engenharia, geologia e geodesia"
5310,Servicos de higiene e embelezamento pessoal
5780,Servicos de investigacao particular
5750,"Servicos de publicidade, propaganda organizaçao de congressos"
5520,Servicos de radiodifusao e televisao
5760,"Servicos de traducao, reproducao e documentaçao"
6230,Servicos de veterinaria - hospitais e clinicas
5460,Servicos de vigilancia e guarda
5710,"Servicos juridicos, de despachante e procurador"
5420,Servicos limpeza e conservacao de casas
6210,Servicos medicos-hospitais
6220,Servicos odontologicos
1100,Siderurgia e elaboracao de produtos siderúrgicos
4540,Sociedade de capitalizacao
4160,"Tecidos, artefatos de tecidos, art vestuario, armarinho e de cama"
4360,"Tecidos, artefatos e fios texteis"
1180,"Tempera e cementacao de aço, recozimento"
5410,Tinturarias e lavanderias
4760,Transporte aereo
4720,Transporte ferroviario
4752,Transporte maritimo de cabotagem
4751,Transporte maritimo de longo curso
4740,Transporte por oleodutos e gasodutos
4730,Transporte por veiculos a tracao animal
4753,Transporte por vias de navegacao interior
4712,Transporte rodoviario de carga
4711,Transporte rodoviario de passageiros
4130,Veiculos e acessorios
4330,Veiculos e acessorios
,ignorado
